"","museum_no","X","objectID","isHighlight","accessionYear","isPublicDomain","primaryImage","primaryImageSmall","additionalImages","constituents","department","objectName","title","culture","period.x","dynasty","reign","portfolio","artistRole","artistPrefix","artistDisplayName","artistDisplayBio","artistSuffix","artistAlphaSort","artistNationality","artistBeginDate","artistEndDate","artistGender","artistWikidata_URL","artistULAN_URL","objectDate","objectBeginDate","objectEndDate","medium","dimensions","measurements","creditLine","geographyType","city","state","county","country","region","subregion","locale","locus","excavation","river","classification","rightsAndReproduction","linkResource","metadataDate","repository","objectURL","tags","objectWikidata_URL","isTimelineWork","GalleryNumber","excavation_no","id_text","accession_no","accounting_period","acquisition_history","alternative_years","archive","ark","atf_source","atf_up","author","author_remarks","cdli_collation","cdli_comments","citation","collection","collection_copyright","composite_id","condition_description","date_entered","date_of_origin","date_remarks","date_updated","dates_referenced","db_source","designation","electronic_publication","elevation","external_id","findspot_remarks","findspot_square","genre","google_earth_collection","google_earth_provenience","height","join_information","language","lineart_up","material","object_preservation","object_remarks","object_type","period.y","period_remarks","photo_up","primary_publication","provenience","provenience_remarks","public","public_atf","public_images","publication_date","publication_history","published_collation","seal_id","seal_information","stratigraphic_level","subgenre","subgenre_remarks","surface_preservation","text_remarks","thickness","translation_source","width","writing_phase"
"1","11.217.1",428,322445,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_1A.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_1A.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-013.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: record of oxen disbursements","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2052 B.C.",-2052,-2052,"Clay","7.1 x 3.9 x 2.3 cm (2 3/4 x 1 1/2 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.3, 'Height': 7.1, 'Width': 3.9}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322445","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P108694",""," ulgi.43.07.01 to  ulgi.43.07.27","","","","21198/zz001q91qs","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","12/20/2001"," ulgi.43.07.27","","2/12/2020"," ulgi.43.07.01,  ulgi.43.07.27","20011220 ur3_catalogue","CTMMA 1, 010","",NA,"bdtns:030253","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 010","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"2","11.217.10",371,322454,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_10.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_10.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-034.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: receipt of sheep and goats","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2040 B.C.",-2040,-2040,"Clay","3.1 x 2.7 x 1.6 cm (1 1/4 x 1 1/8 x 5/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.6, 'Height': 3.1, 'Width': 2.7}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322454","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P108709","","","","","","21198/zz001qqpgq","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","12/20/2001","Amar-Suen.07.08.23","","10/20/2018","Amar-Suen.07.08.23","20011220 ur3_catalogue","CTMMA 1, 024","",NA,"bdtns:030268","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 024","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"3","11.217.11",429,322455,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_11.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_11.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-041.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: receipt of two lambs","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2038 B.C.",-2038,-2038,"Clay","2.7 x 2.6 x 1.4 cm (1 1/8 x 1 x 1/2 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.4, 'Height': 2.7, 'Width': 2.6}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322455","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P200506","","","","","","21198/zz001tbdxw","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","7/11/2002","Amar-Suen.09.02.13","","10/20/2018","Amar-Suen.09.02.13","20020711 molina","CTMMA 1, 029","",NA,"bdtns:030273","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 029","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"4","11.217.12",372,322456,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_12A.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_12A.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-019.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: record of bovine disbursements","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2045 B.C.",-2045,-2045,"Clay","3.1 x 2.9 x 1.4 cm (1 1/4 x 1 1/8 x 1/2 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.4, 'Height': 3.1, 'Width': 2.9}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322456","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P108698","","","","","","21198/zz001qqp4j","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","12/20/2001","Amar-Suen.02.05.26","","10/20/2018","Amar-Suen.02.05.26","20011220 ur3_catalogue","CTMMA 1, 014","",NA,"bdtns:030257","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 014","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"5","11.217.13",430,322457,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_13.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_13.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-026.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: receipt of a bull and sheep","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2041 B.C.",-2041,-2041,"Clay","3 x 2.7 x 1.6 cm (1 1/8 x 1 1/8 x 5/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.6, 'Height': 3, 'Width': 2.7}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322457","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P108703","","","","","","21198/zz001qqp94","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","12/20/2001","Amar-Suen.06.11.03","","10/20/2018","Amar-Suen.06.11.03","20011220 ur3_catalogue","CTMMA 1, 019","",NA,"bdtns:030262","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 019","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"6","11.217.14",228,322458,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_14.JPG","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_14.JPG","['https://images.metmuseum.org/CRDImages/an/original/DP-211-067.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-170.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet impressed with cylinder seal: harvester contract","Babylonian","Old Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 1640 B.C.",-1640,-1640,"Clay","4.6 x 4.2 x 2.3 cm (1 3/4 x 1 5/8 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.3, 'Height': 4.6, 'Width': 4.2}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322458","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P273558","","","","","","21198/zz001vfvp9","Woestenburg, Els","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/5/2005","","","1/7/2019","","20050805 cdliadmin","CTMMA 1, 053","",NA,"","",NA,"Administrative",NA,NA,"?","","","150ppi 20160630","clay","","","tablet","Old Babylonian (ca. 1900-1600 BC)","","","CTMMA 1, 053","","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"Sx","",NA,"","","",NA,"?","no translation","?",""
"7","11.217.15",38,322459,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_15.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_15.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-071.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet impressed with cylinder seal: loan of silver","Babylonian","Old Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 1618 B.C.",-1618,-1618,"Clay","3.8 x 3.7 x 2.2 cm (1 1/2 x 1 1/2 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 3.8, 'Width': 3.7}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Kish or Dilbat",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322459","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P273561","","","","","","21198/zz001vfvsv","Woestenburg, Els","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/5/2005","","","1/7/2019","","20050805 cdliadmin","CTMMA 1, 056","",NA,"","",NA,"Legal",NA,NA,"?","","","150ppi 20160630","clay","","","tablet","Old Babylonian (ca. 1900-1600 BC)","","","CTMMA 1, 056","","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"Sx","",NA,"","","",NA,"?","no translation","?",""
"8","11.217.16",298,322460,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_16.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_16.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-084.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: ration list","Babylonian","Old Babylonian","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 20th–16th century B.C.",-2000,-1500,"Clay","5.7 x 4 x 2.2 cm (2 1/4 x 1 5/8 x 7/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.2, 'Height': 5.7, 'Width': 4}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","probably from Sippar (modern Tell Abu Habba)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322460","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P273571","","","","","","21198/zz001vfw4h","Jagersma, Bram","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","8/5/2005","","","1/7/2019","","20050805 cdliadmin","CTMMA 1, 066","",NA,"","",NA,"Administrative",NA,NA,"?","","","150ppi 20160630","clay","","","tablet","Old Babylonian (ca. 1900-1600 BC)","","","CTMMA 1, 066","","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"9","11.217.17",335,322461,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_17.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_17.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-022.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: receipt of cattle","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2043 B.C.",-2043,-2043,"Clay","3.2 x 2.9 x 1.5 cm (1 1/4 x 1 1/8 x 5/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.5, 'Height': 3.2, 'Width': 2.9}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322461","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P108700","","","","","","21198/zz001qqp6k","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","12/20/2001","Amar-Suen.04.03.00 (us2 year)","","10/20/2018","Amar-Suen.04.03.00 (us2 year)","20011220 ur3_catalogue","CTMMA 1, 016","",NA,"bdtns:030259","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 016","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
"10","11.217.18",370,322462,"False",1911,"True","https://images.metmuseum.org/CRDImages/an/original/ME11_217_18.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME11_217_18.jpg","['https://images.metmuseum.org/CRDImages/an/original/DP-211-027.jpg']","","Ancient Near Eastern Art","Cuneiform tablet","Cuneiform tablet: receipt of an ox and lambs","Neo-Sumerian","Ur III","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"","","ca. 2041 B.C.",-2041,-2041,"Clay","2.9 x 2.6 x 1.5 cm (1 1/8 x 1 x 5/8 in.)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.5, 'Height': 2.9, 'Width': 2.6}}]","Purchase, by exchange, 1911","",NA,NA,NA,"","Mesopotamia","Drehem (ancient Puzrish-Dagan)",NA,NA,NA,NA,"",NA,NA,"2020-09-25T04:35:54.317Z","Metropolitan Museum of Art, New York, NY","https://www.metmuseum.org/art/collection/search/322462","[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]","","False",NA,"","P108704","","","","","","21198/zz001qqpbn","cdlistaff","","Sigrist, Marcel","",NA,"","","Metropolitan Museum of Art, New York, New York, USA",NA,"","","12/20/2001","Amar-Suen.06.11.12","","10/20/2018","Amar-Suen.06.11.12","20011220 ur3_catalogue","CTMMA 1, 020","",NA,"bdtns:030263","",NA,"Administrative",NA,NA,"?","","Sumerian","150ppi 20160630","clay","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 020","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.",NA,"","",NA,"","","",NA,"?","no translation","?",""
