excavation_no,id_text,accession_no,accounting_period,acquisition_history,alternative_years,archive,ark,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,collection_copyright,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,electronic_publication,elevation,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,join_information,language,lineart_up,material,museum_no,object_preservation,object_remarks,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,public,public_atf,public_images,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,writing_phase
"","P005366","","","Antiquities market","","","21198/zz001q17v5","Englund, Robert K.","","Englund, Robert K. & Damerow, Peter","Abrechnung mit je zwei Eintragungen über Malz und Gerstenschrot mit den Summen beider Getreide auf der Rückseite. Wegen ihres zerbrechlichen Zustands konnte die Tafel nicht für die Ausstellung freigegeben werden.","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/4/2001","","","10/20/2018","","20011204 protocuneiform_catalogue","MSVO 3, 55","","","","","","Administrative","","","69","","undetermined","150ppi 20160630","clay","MMA 1988.433.03","","","tablet","Uruk III (ca. 3200-3000 BC)","","","MSVO 3, 55","Uruk (mod. Warka) ?","","yes","yes","yes","2018","Frühe Schrift Nr. 4.55; Englund, Robert K., CTMMA 4, 181","","","","","","","","","16","no translation","46",""
"","P005390","","","Antiquities market","","","21198/zz001q07p4","Englund, Robert K.","","Englund, Robert K. & Damerow, Peter","Bruchstück mit einer Abrechnung über Zuteilungen von Gerste und Emmer mit mehreren Teilsummen(?) und Gesamtsummen für die beiden Getreidearten auf der Rückseite. Wegen ihres zerbrechlichen Zustandes konnte die Tafel nicht für die Ausstellung freigegeben werden.","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/4/2001","","","10/20/2018","","20011204 protocuneiform_catalogue","MSVO 3, 79","","","","","","Administrative","","","66","","undetermined","150ppi 20160630","clay","MMA 1988.433.02","","","tablet","Uruk III (ca. 3200-3000 BC)","","","MSVO 3, 79","Uruk (mod. Warka) ?","","yes","yes","yes","2018","Frühe Schrift Nr. 4.79; Englund, Robert K., CTMMA 4, 180","","","","","","","","","16","no translation","47",""
"","P005393","","","Antiquities market","","","21198/zz001q07sp","Englund, Robert K.","","Englund, Robert K. & Damerow, Peter","Gesiegelte Tafel mit zwei Eintragungen über Zuteilungen von Gerste. Die Tafel ist die einzige von den archaischen Texten der Erlenmeyer-Sammlung mit einer Siegelabrollung. Die Umzeichnung der Abrollung wurde freundlichst von Abdallah M. Kahil angefertigt. Eine Publikation der Siegelabrollung wird von Holly Pittman und Joan Aruz vorbereitet.","","","Newsweek 20071126, p. 58 (Amazon ebook story) photo","Metropolitan Museum of Art, New York, New York, USA","","","","12/4/2001","","","10/20/2018","","20011204 protocuneiform_catalogue","MSVO 3, 82","","","","","","Administrative","","","61","","undetermined","150ppi 20160630","clay","MMA 1988.433.01","","","tablet","Uruk III (ca. 3200-3000 BC)","","","MSVO 3, 82","Uruk (mod. Warka) ?","","yes","yes","yes","2018","Frühe Schrift Nr. 4.82; Aruz, Joan, Art of the First Cities (2003) 040-041, no. 11; Newsweek 20071126, p. 058; Englund, Robert K., CTMMA 4, 179","","Sx","","","","","","","42","no translation","54",""
"Hoffman 1","P005986","not in metonline ?","","","","","21198/zz001r2jvc","Englund, Robert K.","","Gelb, Ignace J., Steinkeller, Piotr & Whiting, Robert M.","","","","","Metropolitan Museum of Art, New York, New York, USA ?","","","","12/4/2001","","","10/20/2018","","20011204 protocuneiform_catalogue","OIP 104, 001","http://www.thymos.com/monument/museums/metropol.html","","","","","Legal","","","102","","Sumerian ?","150ppi 20160630","stone","MMA — ?","","kudurru","tablet","ED I-II (ca. 2900-2700 BC)","","","OIP 104, 001","uncertain (mod. uncertain)","","yes","yes","yes","1989","passim","","","","","","","","","35","no translation","98",""
"","P108692","","","","","","21198/zz001q91nr","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.41.10.28 (us2-us2 year)","","2/12/2020"," ulgi.41.10.28 (us2-us2 year)","20011220 ur3_catalogue","CTMMA 1, 008","","","bdtns:030251","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.24","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 008","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108693","","","","","","21198/zz001q91p8","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.43.06.00","","2/12/2020"," ulgi.43.06.00","20011220 ur3_catalogue","CTMMA 1, 009","","","bdtns:030252","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.23","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 009","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108694",""," ulgi.43.07.01 to  ulgi.43.07.27","","","","21198/zz001q91qs","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.43.07.27","","2/12/2020"," ulgi.43.07.01,  ulgi.43.07.27","20011220 ur3_catalogue","CTMMA 1, 010","","","bdtns:030253","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.01","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 010","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108695","","","","SH25 SH32 IS03","","21198/zz001qqp10","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.44.05m.00 (intercalated)","20111230 corrected firth","2/12/2020"," ulgi.44.05m.00 (intercalated)","20011220 ur3_catalogue","CTMMA 1, 011","","","bdtns:030254","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 86.11.249","","","tablet & envelope","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 011","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","S000227","","","","","","","?","no translation","?",""
"","P108696","","","","","","21198/zz001qqp2h","Firth, Richard","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.46.07.00","","2/12/2020"," ulgi.46.07.00","20011220 ur3_catalogue","CTMMA 1, 012","","","bdtns:030255","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 41.160.236","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 012","Puzri -Dagan (mod. Drehem) ?","","yes","yes","yes","1988","apud Spar, I., ed.","","S000554","","","","","","","?","no translation","?",""
"","P108697","","","","","","21198/zz001qqp31","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001"," ulgi.47.03.00 (us2 year)","","2/12/2020"," ulgi.47.03.00 (us2 year)","20011220 ur3_catalogue","CTMMA 1, 013","","","bdtns:030256","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.07","","","tablet & envelope","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 013","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","S000294","","","","","","","?","no translation","?",""
"","P108698","","","","","","21198/zz001qqp4j","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.02.05.26","","10/20/2018","Amar-Suen.02.05.26","20011220 ur3_catalogue","CTMMA 1, 014","","","bdtns:030257","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.12","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 014","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108699","","","","","","21198/zz001qqp52","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.03.06.00","","12/12/2018","Amar-Suen.03.06.00","20011220 ur3_catalogue","CTMMA 1, 015","","","bdtns:030258","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.09","","","tablet & envelope","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 015","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","Frühe Schrift 14.12","","Sx","","","","","","","?","Englund, Robert K.","?",""
"","P108700","","","","","","21198/zz001qqp6k","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.04.03.00 (us2 year)","","10/20/2018","Amar-Suen.04.03.00 (us2 year)","20011220 ur3_catalogue","CTMMA 1, 016","","","bdtns:030259","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.17","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 016","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108701","","","","","","21198/zz001qqp73","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.04.07.01","","10/20/2018","Amar-Suen.04.07.01","20011220 ur3_catalogue","CTMMA 1, 017","","","bdtns:030260","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.29","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 017","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108702","","","","","","21198/zz001qqp8m","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.06.07.16","","10/20/2018","Amar-Suen.06.07.16","20011220 ur3_catalogue","CTMMA 1, 018","","","bdtns:030261","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.19","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 018","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108703","","","","","","21198/zz001qqp94","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.06.11.03","","10/20/2018","Amar-Suen.06.11.03","20011220 ur3_catalogue","CTMMA 1, 019","","","bdtns:030262","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.13","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 019","Puzri -Dagan (mod. Drehem)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
