,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
0,329081,True,1988.433.1,1988,True,https://images.metmuseum.org/CRDImages/an/original/DT847.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT847.jpg,"['https://images.metmuseum.org/CRDImages/an/original/vs1988.433.1xx.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP297594.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP297595.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP297597.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP293249.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP297596.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-743.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,"Proto-Cuneiform tablet with seal impressions: administrative account of barley distribution with cylinder seal impression of a male figure, hunting dogs, and boars",Sumerian,Jemdet Nasr,,,,,,,,,,,,,,,,ca. 3100–2900 B.C.,-3100,-2900,Clay,2 1/8 × 2 3/8 × 1 5/8 in. (5.4 × 6 × 4.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 4.1, 'Height': 5.4, 'Width': 6}}]","Purchase, Raymond and Beverly Sackler Gift, 1988",,,,,,Mesopotamia,probably from Uruk (modern Warka),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/329081,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}, {'term': 'Boars', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250112', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q58697'}, {'term': 'Dogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265714', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q144'}, {'term': 'Documents', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300026030', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q49848'}]",https://www.wikidata.org/wiki/Q29384572,True,402
1,328905,True,66.245.5b,1966,True,https://images.metmuseum.org/CRDImages/an/original/DP162269.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP162269.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-211-112.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-183.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-184.jpg']",,Ancient Near Eastern Art,Cuneiform tablet case,"Cuneiform tablet case impressed with two cylinder seals, for cuneiform tablet 66.245.5a: record of a lawsuit",Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,7 5/16 × 3 9/16 × 1 3/4 in. (18.5 × 9 × 4.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 4.5, 'Height': 18.5, 'Width': 9}}]","Gift of Mr. and Mrs. J. J. Klejman, 1966",,,,,,Anatolia,probably from Kültepe (Karum Kanesh),,,,,,,,2021-03-19T04:38:18.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/328905,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}, {'term': 'Documents', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300026030', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q49848'}]",https://www.wikidata.org/wiki/Q29384547,True,403
2,328901,False,66.245.17b,1966,True,https://images.metmuseum.org/CRDImages/an/original/DP-13441-013.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-013.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-211-126.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-127.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-198.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-199.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-200.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-201.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-13441-010.jpg']",,Ancient Near Eastern Art,Cuneiform tablet case,"Cuneiform tablet case impressed with four cylinder seals in Assyrian and Anatolian styles, for cuneiform tablet 66.245.17a: loan of silver",Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,5.5 x 5.8 x 2.8 cm (2 1/8 x 2 1/4 x 1 1/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.8, 'Height': 5.5, 'Width': 5.8}}]","Gift of Mr. and Mrs. J. J. Klejman, 1966",,,,,,Anatolia,probably from Kültepe (Karum Kanesh),,,,,,,,2020-09-25T04:35:54.317Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/328901,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,True,403
3,328902,False,66.245.16b,1966,True,https://images.metmuseum.org/CRDImages/an/original/DP162273.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP162273.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-211-133.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-209.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-210.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-211.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-202.jpg']",,Ancient Near Eastern Art,Cuneiform tablet case,"Cuneiform tablet case impressed with four cylinder seals in Anatolian and Old Assyrian style, for cuneiform tablet 66.245.16a: quittance for a loan in silver",Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,5.2 × 5.4 × 2.5 cm (2 1/16 × 2 1/8 × 1 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.5, 'Height': 5.2, 'Width': 5.4}}]","Gift of Mr. and Mrs. J. J. Klejman, 1966",,,,,,Anatolia,probably from Kültepe (Karum Kanesh),,,,,,,,2021-03-19T04:38:18.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/328902,"[{'term': 'Human Figures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5937779'}, {'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,403
4,321614,False,85.15,1885,True,https://images.metmuseum.org/CRDImages/an/original/vs85_15.jpg,https://images.metmuseum.org/CRDImages/an/web-large/vs85_15.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-211-729.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-730.jpg']",,Ancient Near Eastern Art,Cuneiform cylinder,"Cuneiform cylinder with inscription of Nebuchadnezzar II, describing the rebuilding of Ebabbar, the temple of the sun-god Shamash at Sippar",Babylonian,Neo-Babylonian,,,,,,,,,,,,,,,,ca. 604–562 B.C.,-604,-562,Clay,3 1/8 in. × 8 in. × 3 1/8 in. (7.9 × 20.3 × 7.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 7.9, 'Height': 7.9, 'Width': 20.3}}]","Purchase, 1884",,,,,,Mesopotamia,Sippar (?) (modern Tell Abu Habba),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/321614,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,402
5,325858,False,66.245.17a,1966,True,https://images.metmuseum.org/CRDImages/an/original/DP-13441-009.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-13441-009.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-13441-008.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-125.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet: loan of silver,Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,4.6 x 4.6 x 1.6 cm (1 3/4 x 1 3/4 x 5/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.6, 'Height': 4.6, 'Width': 4.6}}]","Gift of Mr. and Mrs. J. J. Klejman, 1966",,,,,,Anatolia,probably from Kültepe (Karum Kanesh),,,,,,,,2020-09-25T04:35:54.317Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/325858,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}, {'term': 'Documents', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300026030', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q49848'}]",,True,403
6,328894,False,1983.135.4c,1983,True,https://images.metmuseum.org/CRDImages/an/original/DP-211-103.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DP-211-103.jpg,['https://images.metmuseum.org/CRDImages/an/original/DP-211-181.jpg'],,Ancient Near Eastern Art,Cuneiform tablet case,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablets 1983.135.4a, b: private letter",Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,4.9 x 4.9 x 2.1 cm (1 7/8 x 1 7/8 x 7/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.1, 'Height': 4.9, 'Width': 4.9}}]","Bequest of Edith Aggiman, 1982",,,,,,Anatolia,probably from Kültepe (Karum Kanesh),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/328894,,,False,402
7,326373,False,1977.371,1977,True,https://images.metmuseum.org/CRDImages/an/original/me 1977_371.jpg,https://images.metmuseum.org/CRDImages/an/web-large/me 1977_371.jpg,['https://images.metmuseum.org/CRDImages/an/original/DP-211-219.jpg'],,Ancient Near Eastern Art,Cuneiform tablet case,Cuneiform tablet case impressed with cylinder seal in Anatolian style,Old Assyrian Trading Colony,Middle Bronze Age–Old Assyrian Trading Colony,,,,,,,,,,,,,,,,ca. 20th–19th century B.C.,-2000,-1800,Clay,6.8 x 5.8 x 1.6 cm (2 5/8 x 2 1/4 x 5/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.6, 'Height': 6.8, 'Width': 5.8}}]","Purchase, Mrs. Peter Oliver Gift, 1977",,,,,,Central Anatolia,,,,,,,,,2020-09-25T04:35:54.317Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/326373,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}, {'term': 'Human Figures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5937779'}]",,False,403
8,324340,False,54.117.27a,1954,True,"https://images.metmuseum.org/CRDImages/an/original/ME54_117_27a,b.jpg","https://images.metmuseum.org/CRDImages/an/web-large/ME54_117_27a,b.jpg",['https://images.metmuseum.org/CRDImages/an/original/DP-211-387.jpg'],,Ancient Near Eastern Art,Cuneiform tablet case,"Cuneiform tablet case impressed with stamp seal, for cuneiform tablet 54.117.27b: loan of silver",Assyrian,Neo-Assyrian,,,,,,,,,,,,,,,,ca. 7th century B.C.,-700,-600,Clay,3.7 x 5 x 0.9 cm (1 1/2 x 2 x 3/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 0.9, 'Height': 3.7, 'Width': 5}}]","Rogers Fund, 1954",,,,,,Mesopotamia,Nimrud (ancient Kalhu),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/324340,"[{'term': 'Animals', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300249525', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q729'}, {'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,402
9,322006,False,86.11.388,1886,True,https://images.metmuseum.org/CRDImages/an/original/ME86_11_388.jpg,https://images.metmuseum.org/CRDImages/an/web-large/ME86_11_388.jpg,"['https://images.metmuseum.org/CRDImages/an/original/DP-211-065.jpg', 'https://images.metmuseum.org/CRDImages/an/original/DP-211-169.jpg']",,Ancient Near Eastern Art,Cuneiform tablet,Cuneiform tablet impressed with cylinder seal: docket,Babylonian,Old Babylonian,,,,,,,,,,,,,,,,ca. 1745 B.C.,-1745,-1745,Clay,2.3 x 2.4 x 2.1 cm (7/8 x 1 x 7/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 2.1, 'Height': 2.3, 'Width': 2.4}}]","Purchase, 1886",,,,,,Mesopotamia,probably from Sippar (modern Tell Abu Habba),,,,,,,,2021-08-20T04:36:13.79Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/322006,"[{'term': 'Cuneiform', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300028711', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q401'}]",,False,402
